frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
73,0,2.400,0.98,1,0.00,0.00,0.62,0.00,0.77,2.14,0.00,1.23,1.19,2.01,0.00,0.26,0.02,0.00,0.02,0.14,0.40,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,0,2.433,0.98,1,0.00,0.00,0.60,0.00,0.76,2.10,0.00,1.31,1.19,2.09,0.00,0.30,0.03,0.00,0.02,0.15,0.26,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,0,2.467,0.98,1,0.00,0.00,0.65,0.00,0.74,2.07,0.00,1.36,1.15,2.21,0.00,0.35,0.06,0.00,0.00,0.05,0.22,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0,2.500,0.98,1,0.00,0.07,0.59,0.03,0.79,2.13,0.04,1.41,1.14,2.24,0.00,0.44,0.07,0.02,0.00,0.05,0.13,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,0,2.533,0.98,1,0.00,0.07,0.64,0.03,0.84,2.20,0.08,1.39,1.12,2.25,0.01,0.43,0.04,0.03,0.00,0.06,0.16,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,0,2.567,0.98,1,0.00,0.11,0.67,0.03,0.89,2.33,0.10,1.31,1.15,2.27,0.01,0.45,0.02,0.05,0.00,0.06,0.18,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,0,2.600,0.98,1,0.00,0.10,0.66,0.00,0.87,2.34,0.06,1.21,1.13,2.26,0.01,0.40,0.07,0.05,0.04,0.09,0.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,0,2.633,0.98,1,0.00,0.10,0.55,0.04,0.82,2.27,0.03,1.15,1.14,2.19,0.00,0.39,0.08,0.06,0.04,0.07,0.10,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,0,2.667,0.98,1,0.00,0.11,0.52,0.04,0.79,2.12,0.02,1.14,1.12,2.16,0.00,0.36,0.08,0.04,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,0,2.700,0.98,1,0.00,0.08,0.57,0.04,0.77,2.13,0.02,1.15,1.10,2.11,0.00,0.32,0.01,0.03,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
