frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
74,0,2.433,0.98,1,0.00,0.00,0.73,0.00,0.40,1.81,0.07,0.77,0.82,1.84,0.01,0.16,0.02,0.00,0.00,0.07,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,0,2.467,0.98,1,0.00,0.00,0.75,0.00,0.43,2.02,0.10,0.68,0.81,1.90,0.01,0.16,0.07,0.00,0.00,0.10,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,0,2.500,0.98,1,0.00,0.00,0.76,0.00,0.48,2.00,0.10,0.74,0.83,1.94,0.01,0.21,0.08,0.00,0.00,0.11,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,0,2.533,0.98,1,0.00,0.00,0.78,0.00,0.49,2.00,0.07,0.78,0.83,1.95,0.02,0.22,0.09,0.00,0.00,0.08,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,0,2.567,0.98,1,0.00,0.00,0.79,0.00,0.49,1.99,0.04,0.87,0.82,1.92,0.00,0.20,0.06,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,0,2.600,0.98,1,0.01,0.00,0.75,0.00,0.47,1.91,0.01,0.89,0.82,1.94,0.00,0.15,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,0,2.633,0.98,1,0.01,0.00,0.74,0.00,0.48,1.99,0.00,0.81,0.81,1.91,0.00,0.09,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,0,2.667,0.98,1,0.01,0.00,0.70,0.00,0.48,2.04,0.00,0.79,0.81,1.91,0.05,0.05,0.05,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,0,2.700,0.98,1,0.05,0.00,0.72,0.00,0.49,2.11,0.00,0.75,0.81,1.86,0.05,0.08,0.14,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,0,2.733,0.98,1,0.07,0.00,0.74,0.00,0.48,2.04,0.00,0.79,0.82,1.95,0.08,0.13,0.19,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
